[2025-11-29 08:35:29] debug: 	zh:ember:uart:ash: <--- [FRAME type=DATA ackNum=4](ackRx=4 frmTx=4)
[2025-11-29 08:35:29] debug: 	zh:ember:uart:ash: <--- [FRAME type=DATA ackNum=4 frmNum=5](frmRx=5) Added to rxQueue
[2025-11-29 08:35:29] debug: 	zh:ember:uart:ash: ---> [FRAME type=ACK frmRx=6](ackRx=4)
[2025-11-29 08:35:29] debug: 	zh:ember:ezsp: <=== [CBFRAME: ID=63:"MESSAGE_SENT_HANDLER" Seq=243 Len=26]
[2025-11-29 08:35:29] debug: 	zh:ember:ezsp: ezspMessageSentHandler: status=OK type=DIRECT indexOrDestination=65202 apsFrame={"profileId":260,"clusterId":2820,"sourceEndpoint":1,"destinationEndpoint":1,"options":4416,"groupId":0,"sequence":186} messageTag=82
[2025-11-29 08:35:34] debug: 	zh:controller:endpoint: ZCL command 0xbc8d7efffe2144c0/1 haElectricalMeasurement.read(["rmsVoltage","rmsCurrent","activePower"], {"timeout":10000,"disableResponse":false,"disableRecovery":false,"disableDefaultResponse":true,"direction":0,"reservedBits":0,"writeUndiv":false})
[2025-11-29 08:35:34] debug: 	zh:ember: ~~~> [ZCL to=0xbc8d7efffe2144c0:21570 apsFrame={"profileId":260,"clusterId":2820,"sourceEndpoint":1,"destinationEndpoint":1,"options":4416,"groupId":0,"sequence":0} header={"frameControl":{"reservedBits":0,"frameType":0,"direction":0,"disableDefaultResponse":true,"manufacturerSpecific":false},"transactionSequenceNumber":82,"commandIdentifier":0}]
[2025-11-29 08:35:34] debug: 	zh:ember:ezsp: ===> [FRAME: ID=52:"SEND_UNICAST" Seq=244 Len=31]
[2025-11-29 08:35:34] debug: 	zh:ember:uart:ash: ---> [FRAME type=DATA frmTx=4 frmRx=6](ackRx=4)
[2025-11-29 08:35:34] debug: 	zh:ember:uart:ash: <--- [FRAME type=DATA]
[2025-11-29 08:35:34] debug: 	zh:ember:uart:ash: <--- [FRAME type=DATA ackNum=5](ackRx=4 frmTx=5)
[2025-11-29 08:35:34] debug: 	zh:ember:uart:ash: <--- [FRAME type=DATA ackNum=5 frmNum=6](frmRx=6) Added to rxQueue
[2025-11-29 08:35:34] debug: 	zh:ember:uart:ash: ---> [FRAME type=ACK frmRx=7](ackRx=5)
[2025-11-29 08:35:34] debug: 	zh:ember:ezsp: <=== [FRAME: ID=52:"SEND_UNICAST" Seq=244 Len=10]
[2025-11-29 08:35:34] debug: 	zh:ember:ezsp: ~~~> [SENT type=DIRECT apsSequence=187 messageTag=83 status=OK]
[2025-11-29 08:35:34] debug: 	zh:ember:uart:ash: <--- [FRAME type=DATA]
[2025-11-29 08:35:34] debug: 	zh:ember:uart:ash: <--- [FRAME type=DATA ackNum=5](ackRx=5 frmTx=5)
[2025-11-29 08:35:34] debug: 	zh:ember:uart:ash: <--- [FRAME type=DATA ackNum=5 frmNum=7](frmRx=7) Added to rxQueue
[2025-11-29 08:35:34] debug: 	zh:ember:uart:ash: ---> [FRAME type=ACK frmRx=0](ackRx=5)
[2025-11-29 08:35:34] debug: 	zh:ember:ezsp: <=== [CBFRAME: ID=89:"INCOMING_ROUTE_RECORD_HANDLER" Seq=244 Len=18]
[2025-11-29 08:35:34] debug: 	zh:ember:ezsp: ezspIncomingRouteRecordHandler: source=21570 sourceEui=0xbc8d7efffe2144c0 lastHopLqi=140 lastHopRssi=-76 relayCount=0 relayList=
[2025-11-29 08:35:34] debug: 	zh:ember:uart:ash: <--- [FRAME type=DATA]
[2025-11-29 08:35:34] debug: 	zh:ember:uart:ash: <--- [FRAME type=DATA ackNum=5](ackRx=5 frmTx=5)
[2025-11-29 08:35:34] debug: 	zh:ember:uart:ash: <--- [FRAME type=DATA ackNum=5 frmNum=0](frmRx=0) Added to rxQueue
[2025-11-29 08:35:34] debug: 	zh:ember:uart:ash: ---> [FRAME type=ACK frmRx=1](ackRx=5)
[2025-11-29 08:35:34] debug: 	zh:ember:ezsp: <=== [CBFRAME: ID=63:"MESSAGE_SENT_HANDLER" Seq=244 Len=26]
[2025-11-29 08:35:34] debug: 	zh:ember:ezsp: ezspMessageSentHandler: status=OK type=DIRECT indexOrDestination=21570 apsFrame={"profileId":260,"clusterId":2820,"sourceEndpoint":1,"destinationEndpoint":1,"options":4416,"groupId":0,"sequence":187} messageTag=83
[2025-11-29 08:35:34] debug: 	zh:ember:uart:ash: <--- [FRAME type=DATA]
[2025-11-29 08:35:34] debug: 	zh:ember:uart:ash: <--- [FRAME type=DATA ackNum=5](ackRx=5 frmTx=5)
[2025-11-29 08:35:34] debug: 	zh:ember:uart:ash: <--- [FRAME type=DATA ackNum=5 frmNum=1](frmRx=1) Added to rxQueue
[2025-11-29 08:35:34] debug: 	zh:ember:uart:ash: ---> [FRAME type=ACK frmRx=2](ackRx=5)
[2025-11-29 08:35:34] debug: 	zh:ember:ezsp: <=== [CBFRAME: ID=69:"INCOMING_MESSAGE_HANDLER" Seq=244 Len=58]
[2025-11-29 08:35:34] debug: 	zh:ember:ezsp: ezspIncomingMessageHandler: type=UNICAST apsFrame={"profileId":260,"clusterId":2820,"sourceEndpoint":1,"destinationEndpoint":1,"options":256,"groupId":0,"sequence":100} packetInfo:{"senderShortId":21570,"senderLongId":"0x0000000000000000","bindingIndex":255,"addressIndex":9,"lastHopLqi":132,"lastHopRssi":-78,"lastHopTimestamp":591019271} messageContents=18520105050021ea000805002100000b0500290000
[2025-11-29 08:35:34] debug: 	zh:controller: Received payload: clusterID=2820, address=21570, groupID=0, endpoint=1, destinationEndpoint=1, wasBroadcast=false, linkQuality=132, frame={"header":{"frameControl":{"frameType":0,"manufacturerSpecific":false,"direction":1,"disableDefaultResponse":true,"reservedBits":0},"transactionSequenceNumber":82,"commandIdentifier":1},"payload":[{"attrId":1285,"status":0,"dataType":33,"attrData":234},{"attrId":1288,"status":0,"dataType":33,"attrData":0},{"attrId":1291,"status":0,"dataType":41,"attrData":0}],"command":{"ID":1,"name":"readRsp","parameters":[{"name":"attrId","type":33},{"name":"status","type":32},{"name":"dataType","type":32,"conditions":[{"type":"fieldEquals","field":"status","value":0}]},{"name":"attrData","type":1000,"conditions":[{"type":"fieldEquals","field":"status","value":0}]}]}}
